Gender,Usia,Plan,Term,PPP,UP_1M,UP_1_5M,UP_2M,UP_2_5M,UP_3M,UP_3_5M,UP_4M,UP_5M,UP_7_5M,UP_10M,UP_50M
Pria,49,A,20,5,31.7,47.5,63.3,75.0,89.0,103.8,118.7,148.4,222.5,296.7,1384.5
Pria,49,A,20,10,17.5,23.3,31.1,38.8,46.6,54.4,62.1,75.0,109.2,145.6,700.0
Pria,49,A,20,15,13.7,19.2,24.3,30.4,36.5,42.5,48.6,60.8,85.4,113.9,569.5
Pria,49,A,20,20,12.0,17.9,21.2,26.6,31.9,37.2,42.5,53.1,75.0,99.6,498.0
Pria,49,B,20,5,47.9,71.8,89.8,112.2,134.7,157.1,179.6,224.5,336.7,448.9,2095.0
Pria,49,B,20,10,26.3,39.4,52.5,65.6,75.0,86.1,98.4,123.1,184.6,246.1,1148.5
Pria,49,B,20,15,19.7,29.6,39.5,49.3,59.2,69.1,75.0,92.5,138.8,185.0,863.0
Pria,49,B,20,20,16.9,22.5,30.0,37.6,45.1,52.6,60.1,75.0,105.6,140.8,700.0
Wanita,49,A,20,5,18.9,25.2,33.6,42.1,50.5,58.9,67.3,78.9,118.3,157.7,736.0
Wanita,49,A,20,10,10.4,14.1,18.8,20.9,25.1,29.2,33.4,41.8,62.6,78.3,391.5
Wanita,49,A,20,15,8.2,11.1,14.8,18.5,19.7,23.0,26.3,32.9,49.3,65.7,308.0
Wanita,49,A,20,20,7.2,10.7,12.9,16.1,19.2,20.1,22.9,28.7,43.0,57.3,268.5
